file_name,lake_path,zone,category,subcategory,project,manifest_id,file_format,extension,size_bytes,checksum,tags,created_at,status,version,source_reference
DataLake_Manifest_All.json,DataLake_Manifest_All.json,,,,,,JSON,json,29988,,,,,,
DutchBay_DataLake_Catalog_20251207_0210.csv,Curated/Catalogs/DutchBay_DataLake_Catalog_20251207_0210.csv,,,,,,CSV,csv,1,,,,,,
Wind_Ingest_MiniCatalog_20251207.xlsx,Raw/Wind_Ingest_MiniCatalog_20251207.xlsx,Raw,Misc,Uncategorized,DutchBay_Wind_150MW,DB-MISC-0013,XLSX,xlsx,19742,sha256:9bb1d7abf4d7c6bb00f203042fd3f114bb2f3321e34a7ff919964101aaa0bdee,misc;uncategorized;dutchbay,2025-12-07T02:46:13.410750+00:00,active,v01,uploaded:/mnt/data/Wind_Ingest_MiniCatalog_20251207.xlsx
Wind_Ingest_MiniCatalog_20251207.csv,Raw/Wind_Ingest_MiniCatalog_20251207.csv,Raw,Misc,Uncategorized,DutchBay_Wind_150MW,DB-MISC-0019,CSV,csv,60006,sha256:b3852a353d6356a8964420469682c81c60a01618a9a9532580bf6a562698c74d,misc;uncategorized;dutchbay,2025-12-07T02:46:13.410750+00:00,active,v01,uploaded:/mnt/data/Wind_Ingest_MiniCatalog_20251207.csv
chunk 1-8 investment report dutchbay,Raw/chunk 1-8 investment report dutchbay,Raw,Misc,Uncategorized,DutchBay_Wind_150MW,DB-MISC-0051,,,126628,sha256:31fd13ce216692ba9b30d8301821c55221baf15cc31bb4a580b9789c4279ef07,misc;uncategorized;dutchbay,2025-12-07T02:46:13.410750+00:00,active,v01,uploaded:/mnt/data/chunk 1-8 investment report dutchbay
Largest wind files - separate zip.zip,Raw/Archives/Largest wind files - separate zip.zip,Raw,Archives,ZipBundle,DutchBay_Wind_150MW,DB-ARCH-0017,ZIP,zip,99163167,sha256:76bc3bfc332b8aa3e2902290ee7b5d8bc99b54f69986eb2d02ba98ba133f74c5,archives;zipbundle;dutchbay,2025-12-07T02:46:13.410750+00:00,active,v01,uploaded:/mnt/data/Largest wind files - separate zip.zip
wind farms.zip,Raw/Archives/wind farms.zip,Raw,Archives,ZipBundle,DutchBay_Wind_150MW,DB-ARCH-0021,ZIP,zip,10992751,sha256:3e2494e6e8ed83237b0a2835b113d0489def8fca409e588169fff5703b20b7d3,archives;zipbundle;dutchbay,2025-12-07T02:46:13.410750+00:00,active,v01,uploaded:/mnt/data/wind farms.zip
Archive.zip,Raw/Archives/Archive.zip,Raw,Archives,ZipBundle,DutchBay_Wind_150MW,DB-ARCH-0023,ZIP,zip,2409512,sha256:5fda47b9690df01f006475f9beba7a11db6c579fc51290a193d70ffcb6bb2659,archives;zipbundle;dutchbay,2025-12-07T02:46:13.410750+00:00,active,v01,uploaded:/mnt/data/Archive.zip
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Archives/dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw,Archives,ZipBundle,DutchBay_Wind_150MW,DB-ARCH-0025,ZIP,zip,154531,sha256:ce7015112774643b69e6ff8471b41027d628bb81975eaa549db6287053b28730,archives;zipbundle;dutchbay,2025-12-07T02:46:13.410750+00:00,active,v01,uploaded:/mnt/data/dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip
large files from wind - to be zipped separarely.zip,Raw/Archives/large files from wind - to be zipped separarely.zip,Raw,Archives,ZipBundle,DutchBay_Wind_150MW,DB-ARCH-0027,ZIP,zip,26063998,sha256:ec57a5314e836af73c357bf15e99141fed9da540c99ab8962a2f2dc863886ee9,archives;zipbundle;dutchbay,2025-12-07T02:46:13.410750+00:00,active,v01,uploaded:/mnt/data/large files from wind - to be zipped separarely.zip
